number,value,state,params_batch_size,params_beta1_d,params_beta1_g,params_beta2_d,params_beta2_g,params_lr_d,params_lr_g,params_optimizer_d,params_optimizer_g
0,,FAIL,64,0.921088321960446,0.473528738033203,0.5918083058544131,0.8469384629894225,0.003557485469682531,0.005739393791253172,sgd,adam
1,,FAIL,32,0.8443659774526658,0.07449683079699305,0.8509661337066126,0.6519412946633368,0.005227877907065295,0.00036874781808120895,adam,adam
2,,FAIL,32,0.792704754488216,0.5842374039410965,0.5667467242547978,0.9398608244514867,0.002660002131274191,0.008020247019555013,adam,adam
3,440.49329563636917,COMPLETE,32,0.3809688556741333,0.14463941774442043,0.5925360213051832,0.5783364853112054,0.009814083607246865,9.174659519348032e-05,adam,sgd
4,426.3559863516105,COMPLETE,32,0.4381209449952931,0.8594678713912084,0.698859779867969,0.7923675372775734,0.0034724089396677075,0.003191634847453538,adam,sgd
5,420.5785074400486,COMPLETE,128,0.7463530023225071,0.7475520668305483,0.9839921747996856,0.8850979407279438,0.00746917771033385,0.0009304400852471609,adam,sgd
6,391.3768369972121,COMPLETE,64,0.9590364253409803,0.44482184766467214,0.877513640536941,0.69118621823224,0.002971320842542612,0.00139576005670976,sgd,adam
7,428.004366234991,COMPLETE,32,0.6997273484379678,0.6559296152746377,0.7870983094513342,0.5488272888253264,0.005423199811359727,0.0034841753724325062,adam,sgd
8,385.28411986757675,COMPLETE,128,0.7074313288633399,0.0551583221399541,0.7547442123619095,0.5760318866850541,0.00634517329016936,0.0029364053201597494,adam,adam
9,475.2119420445597,COMPLETE,128,0.6661443945203599,0.120780576054627,0.5333793051736427,0.7762974257437341,0.009949755270834342,0.004342316000429025,sgd,adam
10,320.8803948752434,COMPLETE,32,0.5992683018856216,0.5831983657641658,0.6782733065510169,0.512562682248413,0.0009186257664820988,0.003581542981924964,adam,sgd
11,321.8035665066549,COMPLETE,64,0.9140592960904832,0.4965733172130802,0.946605724636258,0.8855290665541433,0.001466006986466855,0.006146323282448622,sgd,adam
12,418.1839586302398,COMPLETE,64,0.7683090416558876,0.856536815665832,0.8533946200541683,0.9356249078160427,0.006611298720972597,0.003084824412528167,adam,sgd
13,404.59570127577314,COMPLETE,32,0.04102720472722288,0.35002968964598236,0.7091047582392318,0.6629418925404195,0.0001667127923427144,0.009561569073510271,sgd,sgd
14,380.47866434743116,COMPLETE,64,0.2929188207659995,0.6271718636734953,0.9365846162719417,0.8532343204101493,8.271834300364097e-05,0.006919251156601039,sgd,adam
15,373.0176188059403,COMPLETE,64,0.9899431928327259,0.33789678290926284,0.6288231732127985,0.9383355847663511,0.0022830563047738974,0.00650948189783024,sgd,adam
16,219.30179672220777,COMPLETE,64,0.5625384507160898,0.5464403420167497,0.8342801141746551,0.9838396597282546,0.0014468241398278689,0.006284024094658492,sgd,adam
17,396.42765539273483,COMPLETE,32,0.545066735322748,0.5732345564668723,0.8281091031168073,0.9880733180323623,0.004108884354643104,0.008292225135864839,adam,adam
18,322.82190135789256,COMPLETE,32,0.19608717189260844,0.9529896197463673,0.648093274759226,0.6553581721079995,0.0015925144423581759,0.005101188672607073,sgd,sgd
19,420.1793997567419,COMPLETE,64,0.5456495728097186,0.3282412652740732,0.7968126205561402,0.7390713452047218,0.0014686362473144534,0.0078109140730020146,adam,sgd
20,365.16450997946055,COMPLETE,32,0.5816207942860004,0.7393924147599211,0.5044092707128761,0.5059978335106888,0.004766444530207706,0.00522532234259963,sgd,adam
21,389.39047600599895,COMPLETE,64,0.34151328624918065,0.45070310659930546,0.69794927341675,0.8273179300036144,0.0008470223730028094,0.0018197228144262991,adam,sgd
22,336.25213302164184,COMPLETE,128,0.8447052235838803,0.5227261267792825,0.8967224700536363,0.7350529124083611,0.002752350027098939,0.004427677631658758,sgd,adam
23,546.338496686097,COMPLETE,32,0.46901017543867274,0.22232213168451137,0.5780610903243127,0.6156090363217375,0.004114652206999185,0.009916047778979906,adam,adam
24,335.3067586789077,COMPLETE,64,0.847576008217912,0.49225623440837624,0.9924372275805663,0.9916131187869941,0.0015217223444398366,0.005975059320623654,sgd,adam
25,321.2373308904273,COMPLETE,64,0.8544190953023545,0.6690074900327411,0.9305343619448972,0.9186335453159876,0.0021981791572135835,0.007579317281431218,sgd,adam
26,327.56677140084224,COMPLETE,64,0.608557523859125,0.7161913135180416,0.8260464934880722,0.9444431656694455,0.0021976466298459845,0.007780638956261639,sgd,adam
27,212.234266459547,COMPLETE,64,0.2453047287059425,0.5967838031862331,0.8980059238782333,0.896201102160096,0.0008133477005209369,0.008883297795070008,sgd,adam
28,247.0945957355382,COMPLETE,64,0.24482903751719487,0.5968551844781236,0.7526571767164424,0.998238847728978,0.0008670951502334379,0.008883284076552407,sgd,adam
29,204.47731579345992,COMPLETE,64,0.19599969440071896,0.3823923937029077,0.7607706820158718,0.996515298319799,0.0006577992998535474,0.00887987308662494,sgd,adam
30,454.05165032221123,COMPLETE,64,0.0884496740945761,0.3815391014419617,0.9032154327762881,0.9653333784871037,0.0001511176229795849,0.008859213630759557,sgd,adam
31,395.6550223448934,COMPLETE,64,0.19210901574498518,0.23865689747999352,0.7933423820150145,0.9005635386228862,0.00867098601376006,0.009084854935013296,sgd,adam
32,297.52162986339795,COMPLETE,64,0.1293936971324568,0.26389266548373064,0.8500519298709158,0.83446522873772,0.0036699485062570113,0.006814055914598769,sgd,adam
33,250.7347324060923,COMPLETE,64,0.3845041824265165,0.4110536167781249,0.7322052792970599,0.9634489025456625,0.0006796936031310273,0.008320174584046398,sgd,adam
34,215.1083861064474,COMPLETE,64,0.24539612996195892,0.5569516308952261,0.7455163696556705,0.9974215901025347,0.0008190295540390086,0.009013760655841273,sgd,adam
35,214.77938209381557,COMPLETE,64,0.41365728485704545,0.5405220403128002,0.7729639493810695,0.961025935651814,0.0018232336046743115,0.009340740421587796,sgd,adam
36,349.4445476389977,COMPLETE,64,0.3327072854447197,0.8050438456120501,0.7649418537753288,0.8665206699830472,0.002720927655358428,0.009467623376174746,sgd,adam
37,171.78195201970078,COMPLETE,64,0.42223167622288243,0.6938164613354973,0.6606577816191046,0.9553068702257828,0.0007237505120023557,0.008669937492934118,sgd,adam
38,380.5797780283122,COMPLETE,128,0.4516557555321674,0.8076943567193462,0.6064072031440946,0.9099302173460742,0.003265012071338459,0.008284158884847853,sgd,adam
39,244.25756395139803,COMPLETE,64,0.4005477090093051,0.45104876813404937,0.6736578839741199,0.9489688830404039,0.0020053282781938445,0.009949606484147461,sgd,adam
40,386.27837739383494,COMPLETE,64,0.14925206569678715,0.6811525489865449,0.7123358237683833,0.9174917030869715,0.0003236272607732298,0.007385642799108879,sgd,adam
41,347.64746440474494,COMPLETE,128,0.2687459083506377,0.6254467392143905,0.5735011698551217,0.8734977142427802,0.008308367575567277,0.008566211592379826,sgd,adam
42,363.3037450000217,COMPLETE,64,0.002866362662252514,0.7957822163896908,0.6504799271457982,0.7774980794518913,0.005516584089327699,0.007161334774361607,sgd,adam
43,,RUNNING,64,0.5003310638380043,0.1529457778271784,0.775551767674485,0.9669675765349327,0.001140708452972686,0.009355818561480237,sgd,adam
44,,FAIL,64,0.49990496491176406,0.7005464817428227,0.9662673008828434,0.8922347785730272,0.0011429389224564823,0.009425034360608152,sgd,adam
45,400.3001650181539,COMPLETE,64,0.33108739650463226,0.9727023408522446,0.9592655726320043,0.8055826964397322,0.001202055919221184,0.007947005131740072,sgd,adam
46,200.08758822837095,COMPLETE,64,0.2199934820262322,0.5027601564474922,0.7711196932505019,0.9670732953675297,0.0005679250712457642,0.009234480071301331,sgd,adam
47,319.6018705879685,COMPLETE,64,0.1980249197628198,0.49031374482234413,0.7759512969976492,0.9667108976913463,0.00048027901068931197,0.009329564807284333,sgd,adam
48,453.2640890487554,COMPLETE,64,0.4187867443476898,0.4188918600702488,0.8081409038852437,0.9299030862804506,0.0017906410626213763,2.9168541769556723e-05,sgd,adam
49,242.72649479905715,COMPLETE,64,0.4903098602360647,0.6958718952051364,0.7339644917264554,0.8944810850903181,0.0011186641883396031,0.009691914609984418,sgd,adam
50,228.9376950622703,COMPLETE,64,0.296565531586037,0.6284641115759559,0.8697417420927062,0.9601707690686933,0.0025610778560968385,0.008535321685305223,sgd,adam
51,460.4038430176881,COMPLETE,128,0.09304719901723607,0.028144666229012738,0.6844620973355923,0.9737125697958275,0.00010187107125071216,0.009400222806517101,sgd,sgd
