number,value,state,params_batch_size,params_beta1_d,params_beta1_g,params_beta2_d,params_beta2_g,params_lr_d,params_lr_g
0,480.4835544551064,COMPLETE,128,0.3721838897837159,0.0487730625624028,0.705899598703175,0.986670342275783,0.006395783985587314,0.0019141192835028858
1,460.0862412965065,COMPLETE,128,0.1530805599594103,0.08885178718355456,0.8484954001834584,0.6010386270014972,0.0068381696623048185,0.002766415991991392
2,480.9723697692985,COMPLETE,64,0.30231393412791235,0.38557608975396895,0.5149750911601532,0.6532513873841049,0.00154087141006813,0.005769057527909881
3,397.6712205584855,COMPLETE,128,0.5999642807938389,0.07643004026089643,0.5737733496041333,0.9562775857845867,0.009763528810377835,0.0003936612522724648
4,406.8931721295353,COMPLETE,128,0.8449788092046091,0.7502463547497775,0.6658128792859527,0.8282260594266806,0.0018230458740081275,0.009820183750547046
5,381.58321020264407,COMPLETE,32,0.28151308772622285,0.9746043644520577,0.687680471468271,0.9806336340907892,0.003356671336402318,0.006295739803485137
6,508.0844296060842,COMPLETE,64,0.9028702357336827,0.11940692319722505,0.8303097892294802,0.6485096703891489,0.007238296052621883,0.0008219398482107013
7,406.2071086356927,COMPLETE,32,0.7925549009687352,0.8776451865811252,0.9692309713287366,0.7785765353414135,0.00813195457841896,0.00954947815202267
8,512.1561505748459,COMPLETE,128,0.18238799254774024,0.8156077846843915,0.6863938315327567,0.726107359209363,0.0054761120909667645,0.0004381403213182067
9,490.8926861394285,COMPLETE,64,0.9564810995979238,0.4271543712929246,0.6983378503107337,0.9011652240313116,0.007215342107964928,0.0012317083876805888
10,376.9691931950937,COMPLETE,32,0.5827514988872197,0.5894699976099353,0.810942943360137,0.5052065215716065,0.003315897354102153,0.006443628981185254
11,456.786742476183,COMPLETE,32,0.5728921576785441,0.6521993742889267,0.8117892938501204,0.5456632626514331,0.003489970815414552,0.006665646864918211
12,424.9161495400724,COMPLETE,32,0.4610092441806034,0.9591283006026288,0.926625036983607,0.5243844845294456,0.0034823472335926337,0.0074470078554306485
13,462.13991401952745,COMPLETE,32,0.6600482872149889,0.574024294293235,0.7737747935341299,0.8517308456174914,0.0035845939768669706,0.003965899350053328
14,392.3324031801792,COMPLETE,32,0.30178228826423054,0.9812903298207392,0.6230328080093946,0.7173628424398524,0.0002645810399656487,0.007894457947587443
15,363.1435363718754,COMPLETE,32,0.03278428079275647,0.2759352324588139,0.8823434407444786,0.9236637440353582,0.004610913987496268,0.00466763260481778
