number,value,state,params_batch_size,params_beta1_d,params_beta1_g,params_beta2_d,params_beta2_g,params_lr_d,params_lr_g,params_optimizer_d,params_optimizer_g
0,,FAIL,64,0.5152433448197867,0.7893920803020481,0.932426799550258,0.7729313769771438,0.0048755562975544,0.005820086438488731,sgd,sgd
1,461.80721608975256,COMPLETE,32,0.07362974588253081,0.4354717165141394,0.6815786475116729,0.6608208767241435,0.009253774151513332,0.0009828522464316774,adam,sgd
2,518.0566316223963,COMPLETE,64,0.584629682887345,0.19007485701249885,0.7148779632695306,0.8117405378447442,0.004914298588706987,0.005693622919408086,sgd,sgd
3,479.9512436584869,COMPLETE,128,0.7619936488708399,0.7534026955412485,0.7834951420962095,0.6862055086098979,0.0031745120465729616,0.0001999915051974965,adam,sgd
4,,FAIL,128,0.029790298531459657,0.3827895749068771,0.7152662472357947,0.9054570096694778,0.003346090760228817,0.006344325822982375,adam,sgd
5,436.0685169847205,COMPLETE,128,0.030193206916538373,0.1596879337669831,0.9154978665379461,0.9921298338528857,0.001424655178188479,0.004858917791555254,adam,adam
6,482.5214754814658,COMPLETE,128,0.6823780627370538,0.4404733322059827,0.8342441757022049,0.9021472563759021,0.005705658130181296,0.000344888733484007,sgd,sgd
7,435.09449086596754,COMPLETE,128,0.8734814723210853,0.3653307738637917,0.9953153492242941,0.7373422313445329,0.00824314776792031,0.005907023419994369,sgd,adam
8,460.6716065727584,COMPLETE,64,0.03365048063442745,0.4978315804742482,0.6079315276831163,0.8941925882128552,0.0045162554640737,0.001812772123951217,adam,sgd
9,510.1033530888505,COMPLETE,128,0.48276294162749783,0.0010911357945499478,0.76924421399114,0.7214858053681847,0.007580897207153137,0.008410587581549861,sgd,adam
10,475.69586191095743,COMPLETE,64,0.6286314597291176,0.8357087866579913,0.9461920451323313,0.6499065647463054,0.0060229749488743085,0.008190358430452046,adam,sgd
11,464.1700355049136,COMPLETE,128,0.2587170876653363,0.8549258261956797,0.8607144223573966,0.9619512130652442,0.00761065292518066,0.004036848696955136,sgd,sgd
12,333.3957139489583,COMPLETE,32,0.9694476791285471,0.6380932819636997,0.5121861850196836,0.5118539355768621,9.68355288114564e-05,0.00669925917733883,sgd,adam
13,326.5564685834646,COMPLETE,32,0.9828509804944594,0.6116711437240915,0.5175708732172039,0.5017569900870833,4.253137804889499e-05,0.006652083118086393,sgd,adam
14,412.3670264324871,COMPLETE,32,0.9691307520333666,0.6761862309813118,0.5078569116207221,0.5042868224304698,3.3384961226745976e-05,0.007383307404183222,sgd,adam
15,349.4823907741572,COMPLETE,32,0.9828130123390175,0.6206536395646534,0.5054764664516697,0.5016201055880963,0.0003483208484000486,0.009560279099322175,sgd,adam
16,440.9357829156576,COMPLETE,32,0.8178643270612629,0.5939859954975184,0.5856343003293502,0.5779166908665533,0.0025822617563489537,0.0034659548127468046,sgd,adam
17,407.71007995823766,COMPLETE,32,0.8830807940845236,0.9304325959600076,0.5821446748271875,0.5789928273152705,0.0015070394742185053,0.006729528222604839,sgd,adam
18,478.61585674175393,COMPLETE,32,0.9789492316423963,0.7298808643122653,0.5537746663829792,0.5750561653419689,0.0014642447422752755,0.009690027791474754,sgd,adam
19,312.19400543635294,COMPLETE,32,0.7500306259812768,0.5627178056145771,0.6515989279975908,0.5501183839376578,0.0029477442318731305,0.002632098547200553,sgd,adam
20,439.2027299148093,COMPLETE,32,0.538570489440564,0.2856454360398246,0.6603526067891807,0.6109652198324476,0.003354707287744469,0.002759823640754218,sgd,adam
21,372.45172418945685,COMPLETE,32,0.44919315676357385,0.5238066458102386,0.6353167100126811,0.5577416695887021,0.0019567595021006603,0.001898755247869091,sgd,adam
22,395.5633828854049,COMPLETE,32,0.7402021295568592,0.3574317790124236,0.7216881373011145,0.621212017951486,0.003800594847328906,0.004521038155523088,sgd,adam
