experiment,epochs,batch_size,lr_g,optimizer_g,beta1_g,beta2_g,lr_d,optimizer_d,beta1_d,beta2_d,best_fid,best_is
new_optuna_trial_0,5,128,0.00961655659275622,adam,0.3972502680186206,0.9804184235247422,0.007089892439719228,sgd,0.5400793458504111,0.8110857049596873,416.8077,1.004
new_optuna_trial_1,5,64,0.009094773564728877,sgd,0.7985506931556136,0.8595482065532205,0.0008079930394258293,adam,0.5806420204990761,0.7249344737367995,422.9396,1.0065
new_optuna_trial_10,5,64,0.005050528543900477,adam,0.5706479787315468,0.7997510725896109,0.0039559064812807986,sgd,0.21918687153778754,0.9875772073780791,329.3745,1.0452
new_optuna_trial_11,5,64,0.005290953976576847,adam,0.5678862682346332,0.8042512367856711,0.00435097340090893,sgd,0.2176051071613499,0.9336325087836718,340.0946,1.0177
new_optuna_trial_12,5,64,0.005440413229156153,adam,0.550969001453855,0.8538613374423362,0.00408518792941087,sgd,0.30532720752542,0.8043334279330933,205.2006,1.0233
new_optuna_trial_13,5,64,0.003734987046937516,adam,0.33064971403672894,0.8733817976595134,6.483968230136875e-05,sgd,0.32680953694386183,0.8091243151891353,401.7348,1.0021
new_optuna_trial_14,5,64,0.006677005794121578,adam,0.4860077023317746,0.687404977201458,0.0034881725942537216,sgd,0.3551578353301104,0.8144315415693033,319.0277,1.0213
new_optuna_trial_15,5,64,0.006568399097661304,adam,0.23894785987184752,0.9083066137198614,0.00550800081201433,sgd,0.04679069337627645,0.8686750047451305,314.937,1.0163
new_optuna_trial_16,5,64,0.0076632405970599275,adam,0.638526598183566,0.8095478518885942,0.0015614830651105955,sgd,0.3804837517379584,0.7692757456692343,276.2703,1.0064
new_optuna_trial_17,5,128,0.004148920349234681,adam,0.7225638213925221,0.7578653421117371,0.001072042367138577,sgd,0.185234640623906,0.7828739611992964,386.6769,1.0019
new_optuna_trial_18,5,64,5.090695630083526e-05,adam,0.6157063956023985,0.6071786265914643,0.00480192617955687,sgd,0.6836951144178464,0.8650519447432741,394.2309,1.0111
new_optuna_trial_19,5,64,0.005849255705057686,adam,0.658926358631338,0.9074550046963097,0.009611866400093774,sgd,0.3001260921239586,0.5929196477461265,383.8507,1.0203
new_optuna_trial_2,5,32,0.008885316092029055,adam,0.07724979915667164,0.6861938533076106,0.0025225440877532615,adam,0.4810109983187784,0.8927722474969573,399.9064,1.0058
new_optuna_trial_20,5,128,0.0037062283710464303,adam,0.9700127649573964,0.8033083972791034,0.003442679111512704,sgd,0.1275874111123489,0.7758190989917337,407.7293,1.0024
new_optuna_trial_21,5,64,0.007908419626225119,adam,0.4798806164426608,0.8145591056716286,0.0023836262915071784,sgd,0.4513156607916914,0.7364461567329575,269.5686,1.0173
new_optuna_trial_22,5,64,0.007901769940968917,adam,0.47486446933519816,0.725809865699781,0.0016048795436538086,sgd,0.41927835262752966,0.6781898449964672,203.1879,1.0058
new_optuna_trial_23,5,64,0.008155477115803486,adam,0.48049795917573396,0.7271651111725044,9.122134473895033e-05,sgd,0.4392323584242472,0.680966211885426,446.4262,1.0062
new_optuna_trial_24,5,64,0.009912493856751262,adam,0.4316749138502478,0.7283198113656433,0.0032153236748760396,sgd,0.6737718736317664,0.6048098451378874,294.47,1.0355
new_optuna_trial_25,5,64,0.005929410861498748,adam,0.2508500454257978,0.9306547062453301,0.001990428918784017,sgd,0.272529505745325,0.7482014444164169,204.2719,1.007
new_optuna_trial_26,5,64,0.0058098302292254175,sgd,0.24011942420704757,0.9192996677268765,0.0012533787980007574,sgd,0.2946674278014928,0.5493665404474183,392.8681,1.0115
new_optuna_trial_27,5,64,0.004441524264457531,adam,0.25041254762635556,0.9290046366557367,0.004126986956348933,sgd,0.16033268309379636,0.6871127473197702,342.7665,1.0314
new_optuna_trial_28,5,128,0.002896415754322618,adam,0.0023703098276016688,0.9978799192112671,0.0019826031321625906,sgd,0.2586846287190499,0.8388974409955198,369.7646,1.0071
new_optuna_trial_29,5,64,0.007015839699835418,adam,0.41126560087848635,0.6160827003109033,0.0032553892380652845,sgd,0.08536018672852644,0.6404694952907285,337.7701,1.0224
new_optuna_trial_3,5,32,0.002017928347563447,sgd,0.35563083831545217,0.5509567936327853,0.008708336295609213,sgd,0.02809281395199074,0.7048442099086387,349.7076,1.034
new_optuna_trial_4,5,64,0.006798675468971447,sgd,0.8191544321349957,0.6606445956192624,0.006175467515441282,adam,0.571284967489113,0.6608754587566427,428.6529,1.0048
new_optuna_trial_5,5,32,0.0023403592922661078,adam,0.7986612838307278,0.9579211456841323,0.0018808578642338935,adam,0.7372792465426673,0.6107725763313883,416.4228,1.006
new_optuna_trial_6,5,64,0.008016868587730477,adam,0.34200183156591063,0.8395718838936733,0.002662212451639359,sgd,0.41990415343332405,0.7317706437782726,308.9397,1.008
new_optuna_trial_7,5,32,0.001605881961895257,sgd,0.10363689456629543,0.9671769208033425,0.0070357670297543674,adam,0.5282421610715843,0.6574494551974058,375.9563,1.0135
new_optuna_trial_8,5,128,0.0010375118787946654,sgd,0.953098319282993,0.8754837632055783,0.002548847364624071,adam,0.9681028355559032,0.5193462795872926,391.7898,1.0138
new_optuna_trial_9,5,32,0.007807132145350835,adam,0.15605728278234102,0.7572901635348255,0.006112691921747012,adam,0.8794615114913116,0.5029638756102479,414.397,1.0106
