number,value,datetime_start,datetime_complete,duration,params_batch_size,params_beta1,params_beta2,params_lr,params_optimizer,state
0,394.1841502002742,2025-06-23 16:38:15.537059,2025-06-23 17:00:33.296652,0 days 00:22:17.759593,32,0.5716358748680819,0.951564982617251,0.00948933295827047,adam,COMPLETE
1,418.2604628229669,2025-06-23 17:00:33.297761,2025-06-23 17:22:56.434349,0 days 00:22:23.136588,128,0.5450829625878684,0.7248560160924781,0.0074075338640120555,adam,COMPLETE
2,412.1197116290501,2025-06-23 17:22:56.437248,2025-06-23 17:43:54.390147,0 days 00:20:57.952899,128,0.09760768480701419,0.8893809862762609,0.0006718370884661143,sgd,COMPLETE
3,191.46271655836392,2025-06-23 17:43:54.390959,2025-06-23 18:03:18.945619,0 days 00:19:24.554660,64,0.3874486059372525,0.8331494178470416,0.000706766943340884,adam,COMPLETE
4,380.82871636934146,2025-06-23 18:03:18.946893,2025-06-23 18:23:42.850138,0 days 00:20:23.903245,64,0.7643051423353552,0.6900150048143371,0.006214911260706127,adam,COMPLETE
5,405.23410604446946,2025-06-23 18:23:42.851414,2025-06-23 18:47:33.427740,0 days 00:23:50.576326,128,0.5643711279330794,0.6485515270918765,0.0001815667560866039,sgd,COMPLETE
6,412.2842292288424,2025-06-23 18:47:33.429370,2025-06-23 19:14:26.022018,0 days 00:26:52.592648,128,0.7996253778715169,0.7590582768839012,0.006127243174688299,adam,COMPLETE
7,162.91376656580707,2025-06-23 19:14:26.023189,2025-06-23 19:38:54.391524,0 days 00:24:28.368335,32,0.35812244025534795,0.5264117288208043,0.004626935872468988,sgd,COMPLETE
8,389.86976568305124,2025-06-23 19:38:54.392416,2025-06-23 20:01:40.667421,0 days 00:22:46.275005,32,0.22466849640747538,0.9571316975810293,0.0008783587641828762,sgd,COMPLETE
9,379.58150306563573,2025-06-23 20:01:40.668194,2025-06-23 20:24:46.122827,0 days 00:23:05.454633,64,0.4518659815877893,0.7465180294338114,0.00012156307959106567,sgd,COMPLETE
10,393.16976636584764,2025-06-23 20:24:46.124671,2025-06-23 20:47:38.842270,0 days 00:22:52.717599,32,0.9491695515862937,0.5016098031320709,0.003367331945077223,sgd,COMPLETE
11,554.2016181333353,2025-06-23 20:47:38.846643,2025-06-23 21:09:26.378882,0 days 00:21:47.532239,64,0.3121317142171919,0.5062916297151507,0.0034157154215893985,adam,COMPLETE
12,484.314220768672,2025-06-23 21:09:26.381394,2025-06-23 21:32:14.067682,0 days 00:22:47.686288,32,0.34091824964585177,0.8359088703570681,0.0031075689276660163,adam,COMPLETE
13,376.15276577185716,2025-06-23 21:32:14.068852,2025-06-23 21:55:06.385068,0 days 00:22:52.316216,64,0.041625290067047405,0.6007654163968141,0.0023675664342482834,sgd,COMPLETE
14,374.616709139246,2025-06-23 21:55:06.387140,2025-06-23 22:17:49.333019,0 days 00:22:42.945879,64,0.20324511604430281,0.8207371711276147,0.0046072921800276905,adam,COMPLETE
15,385.6427895967577,2025-06-23 22:17:49.334339,2025-06-23 22:39:39.281217,0 days 00:21:49.946878,32,0.4245430832069673,0.5788578252548496,0.008948401808912015,sgd,COMPLETE
16,357.93950416952924,2025-06-23 22:39:39.282887,2025-06-23 22:59:56.243517,0 days 00:20:16.960630,64,0.6824751068961249,0.8257855210611957,0.0017175170469386093,adam,COMPLETE
17,195.49390753542113,2025-06-23 22:59:56.244343,2025-06-23 23:20:09.239014,0 days 00:20:12.994671,32,0.34363000850034714,0.8969944174563433,0.004612420714302061,sgd,COMPLETE
18,261.65327941627186,2025-06-23 23:20:09.239803,2025-06-23 23:40:29.879847,0 days 00:20:20.640044,64,0.21870105264240394,0.5896803807410245,0.007708697927297729,sgd,COMPLETE
19,339.88904373361845,2025-06-23 23:40:29.881557,2025-06-23 23:59:00.598174,0 days 00:18:30.716617,32,0.64515101703963,0.7909601972007783,0.005676512125495598,adam,COMPLETE
